persona,group_key,procedure_code,procedure_title,workflow_family,support_level,raw_data_available,in_full_data,in_workflow_dataset,official_membership,expanded_membership,membership_source,field,source_url,notes
citizen,cu_tru_giay_to,2.000473,Cấp đổi thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,,raw_only,true,true,false,false,true,expanded,Quản lý xuất nhập cảnh,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-adb9-77f9-ac8d-4d088f07d339,title:thuong tru
citizen,cu_tru_giay_to,1.001133,"Cấp, cấp lại, gia hạn Thẻ phóng viên nước ngoài cho phóng viên thường trú tại Việt Nam",,raw_only,true,true,false,false,true,expanded,Báo chí,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-ea06-708b-9b0d-c617fc86cf01,title:thuong tru
citizen,cu_tru_giay_to,1.000671,Cử phóng viên thường trú tại các địa phương khác của Việt Nam,,raw_only,true,true,false,false,true,expanded,Báo chí,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9bf-7127-ba79-35291ac347be,title:thuong tru
citizen,cu_tru_giay_to,1.010827,Di chuyển hồ sơ khi người hưởng trợ cấp ưu đãi thay đổi nơi thường trú,,raw_only,true,true,false,false,true,expanded,Người có công,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-03d1-7738-83c0-e5b7b37f5bb0,title:thuong tru
citizen,cu_tru_giay_to,1.001002,Gia hạn Thẻ phóng viên nước ngoài cho phóng viên thường trú tại Việt Nam,,raw_only,true,true,false,false,true,expanded,Báo chí,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d91a7-e98e-76a4-b960-31911f903bad,title:thuong tru
citizen,cu_tru_giay_to,1.003326,Gia hạn tạm trú cho người nước ngoài tại Việt Nam (thực hiện tại cấp Trung ương),,raw_only,true,true,false,false,true,expanded,Quản lý xuất nhập cảnh,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-6f17-7561-bd4d-811d3c432237,title:tam tru
citizen,cu_tru_giay_to,1.001146,Gia hạn tạm trú cho người nước ngoài tại Việt Nam (thực hiện tại cấp tỉnh),,raw_only,true,true,false,false,true,expanded,Quản lý xuất nhập cảnh,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-5f61-72e9-acd7-30da53e18cc9,title:tam tru
citizen,cu_tru_giay_to,1.000771,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực tại Cục Quản lý xuất nhập cảnh Bộ Công an,,raw_only,true,true,false,false,true,expanded,Quản lý xuất nhập cảnh,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-57ba-70d3-8771-4bbb754b4b31,title:tam tru
citizen,cu_tru_giay_to,1.002411,"Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực tại Phòng Quản lý xuất nhập cảnh Công an tỉnh, thành phố trực thuộc Trung ương",,raw_only,true,true,false,false,true,expanded,Quản lý xuất nhập cảnh,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-6755-734f-ad71-21d637733708,title:tam tru
citizen,cu_tru_giay_to,1.115684,"Giao đất ở có thu tiền sử dụng đất không thông qua đấu giá, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất đối với cá nhân là cán bộ, công chức, viên chức, sĩ quan tại ngũ, quân nhân chuyên nghiệp, công chức quốc phòng, công nhân và viên chức quốc phòng, sĩ quan, hạ sĩ quan, công nhân công an, người làm công tác cơ yếu và người làm công tác khác trong tổ chức cơ yếu hưởng lương từ ngân sách nhà nước mà chưa được giao đất ở, nhà ở; giáo viên, nhân viên y tế đang công tác tại các xã biên giới thuộc vùng có điều kiện kinh tế - xã hội khó khăn, vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn nhưng chưa có đất ở, nhà ở tại nơi công tác hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở; cá nhân thường trú tại xã mà không có đất ở và chưa được Nhà nước giao đất ở hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f4aed-8f5a-73fd-9c80-85f86af93723,title:thuong tru
